sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.9544394268356673
6.9,3.1,5.1,2.3,virginica,0.9537742264333363
5.1,2.5,3.0,1.1,versicolor,0.9460495906675349
4.4,2.9,,0.2,setosa,0.6253236783336165
5.9,3.0,5.1,1.8,virginica,0.7331489694056358
5.5,3.5,1.3,0.2,setosa,0.9581747941876723
5.6,,3.6,1.3,versicolor,0.938917617001053
6.5,3.0,5.2,2.0,virginica,0.9287314070270902
5.3,3.7,1.5,0.2,setosa,0.9631808973329926
5.1,3.4,1.5,,setosa,0.8075563779517888
6.1,2.8,4.0,1.3,versicolor,0.9738337459171154
5.5,2.4,3.7,1.0,versicolor,0.9745728214500661
7.7,3.0,6.1,2.3,virginica,0.9489119002494825
6.9,3.1,4.9,1.5,versicolor,0.7275996597046076
6.0,2.2,5.0,1.5,versicolor,0.5861560050739067
